sequence, source_id, remove, notes1, notes2
seq01, 40348540397254, 1, ,
seq01, 40348560131057, 0, ,
seq01, 40348560185546, 0, ,
seq01, 40348560212653, 0, ,
seq01, 40348560141104, 0, ,
seq03, 40349380007658, 0, ,
seq04, 40349440012079, 0, ,
seq04, 40349500056603, 1, ,
seq09, 40351330140141, 0, ,
seq10, 40351410077425, 1, ,
seq10, 40351410315110, 1, ,
seq11, 40351520017054, 0, ,
seq15, 40346700057432, 1, ,
seq15, 40346700053789, 1, ,
seq15, 40346700054403, 0, ,
seq15, 40346700055160, 1, ,
seq15, 40346700039951, 1, ,
seq15, 40346700055812, 1, ,
seq15, 40346700052872, 1, ,
seq15, 40346700050592, 1, asteroid?,
seq15, 40346700056383, 0, asteroid in field?,
seq16, 40346780012245, 0, ,
seq16, 40346780011561, 1, ,
seq16, 40346780009323, 1, ,
seq16, 40346780005780, 1, ,
seq17, 40347080017951, 0, ,
seq17, 40347080025593, 1, ,
seq17, 40347080029812, 1, ,
seq17, 40347080024693, 1, ,
seq17, 40347080013570, 0, ,
seq17, 40347080018883, 1, ,
seq17, 40347080007654, 1, ,
seq17, 40347080028830, 1, ,
seq17, 40347080039830, 0, ,
seq17, 40347080018409, 0, ,
seq17, 40347080018721, 0, ,
seq17, 40347080029335, 0, ,
seq17, 40347080031873, 0, ,
seq17, 40347080012953, 0, ,
seq17, 40347080008041, 0, ,
seq17, 40347080018531, 0, ,
seq17, 40347080034555, 0, ,
seq17, 40347080035033, 0, ,
seq17, 40347080036412, 0, ,
seq17, 40347080014373, 0, ,
seq17, 40347080006319, 0, ,
seq17, 40347080009365, 0, ,
seq17, 40347080014630, 0, ,
seq17, 40347080018864, 1, ,
seq17, 40347080023887, 0, ,
seq17, 40347080008013, 0, ,
seq17, 40347080027642, 0, ,
seq17, 40347080020371, 0, ,
seq17, 40347080014828, 0, ,
seq17, 40347080026234, 0, ,
seq17, 40347080006016, 0, ,
seq17, 40347080009636, 0, ,
seq17, 40347080030610, 1, ,
seq18, 40347160062530, 1, ,
seq18, 40347160047893, 1, ,
seq18, 40347160043802, 0, ,
seq18, 40347160010945, 1, ,
seq18, 40347160024138, 0, ,
seq18, 40347160042002, 1, ,
seq18, 40347160009515, 0, ,
seq18, 40347160056784, 0, ,
seq18, 40347160031620, 1, ,
seq18, 40347160049240, 1, ,
seq18, 40347160034420, 0, ,
seq18, 40347160061962, 1, ,
seq18, 40347160023280, 0, ,
seq18, 40347160038529, 0, ,
seq18, 40347160010651, 1, ,
seq18, 40347160050224, 1, ,
seq18, 40347160018783, 1, ,
seq18, 40347160037186, 1, ,
seq18, 40347160012781, 1, ,
seq18, 40347160011277, 1, ,
seq18, 40347160047820, 1, ,
seq18, 40347160022631, 1, ,
seq18, 40347160028698, 0, ,
seq18, 40347160054968, 1, ,
seq18, 40347160023829, 0, ,
seq18, 40347160020048, 1, asteroid?,
seq18, 40347160011655, 0, ,
seq18, 40347160015255, 1, ,
seq18, 40347160020302, 0, ,
seq18, 40347160060262, 0, ,
seq18, 40347160046712, 1, ,
seq18, 40347160026848, 1, ,
seq18, 40347160020756, 1, ,
seq18, 40347160048684, 1, ,
seq18, 40347160015446, 0, ,
seq18, 40347160014845, 1, ,
seq18, 40347160046861, 0, ,
seq18, 40347160024335, 0, ,
seq18, 40347160035964, 1, asteroid?,
seq21, 40347800170067, 1, ,
seq21, 40347800283769, 0, ,
seq21, 40347800182599, 1, ,
seq21, 40347800240273, 1, ,
seq21, 40347800292798, 1, ,
seq21, 40347800196537, 1, ,
seq21, 40347800078626, 1, ,
seq22, 40347840226853, 1, ,
seq23, 40348200090053, 0, ,
seq23, 40348200158428, 0, ,
seq24, 40348300057199, 0, ,
seq24, 40348300034238, 1, ,
seq24, 40348300096763, 0, ,
seq24, 40348300113938, 1, ,
seq24, 40348300069747, 1, ,
seq24, 40348300091961, 1, ,
seq24, 40348300010575, 1, ,
seq24, 40348300010310, 1, ,
seq24, 40348300120664, 1, ,
seq24, 40348300074399, 1, ,
seq24, 40348300111272, 0, ,
seq24, 40348300120461, 1, ,
seq24, 40348300111165, 1, ,
seq24, 40348300105176, 0, ,
seq24, 40348300080023, 1, ,
seq24, 40348300099413, 0, ,
seq24, 40348300111246, 0, ,
seq24, 40348300011330, 1, ,
seq24, 40348300069991, 1, ,
seq24, 40348300045300, 1, ,
seq24, 40348300110235, 1, ,
seq24, 40348300068413, 0, ,
seq25, 40348880030135, 1, ,
seq26, 40349040146619, 1, ,
seq26, 40349040165245, 1, asteroid,
seq26, 40349040160435, 0, ,
seq26, 40349040093738, 1, ,
seq26, 40349040003448, 0, ,
seq27, 40349850006415, 0, ,
seq28, 40349990003254, 1, ,
seq29, 40350050004633, 1, 2nd plate is partially obstructed by shutter,
seq29, 40350050004427, 1, ,
seq29, 40350050004369, 1, ,
seq29, 40350050003731, 1, ,
seq29, 40350050004002, 1, ,
seq29, 40350050004515, 1, ,
seq29, 40350050003954, 1, ,
seq29, 40350050004191, 1, ,
seq29, 40350050004082, 1, ,
seq29, 40350050005534, 1, ,
seq29, 40350050004158, 1, ,
seq29, 40350050004258, 1, ,
seq29, 40350050003872, 1, ,
seq34, 40351260186710, 0, ,
seq34, 40351260043543, 1, ,
seq34, 40351260037379, 1, ,
seq37, 40351580307750, 1, ,
seq37, 40351580311198, 1, ,
seq37, 40351580164385, 0, ,
seq37, 40351580305929, 1, ,
seq37, 40351580301424, 1, ,
